t_us,hr_bpm,time_status,time_validity_reason,rmssd_ms,rmssd_ci_low_ms,rmssd_ci_high_ms,sdnn_ms,pnn50_percent,fiducial_quality_mean,fiducial_uncertainty_p95_ms,fiducial_shift_p95_ms,fiducial_unstable_ratio,frequency_status,frequency_validity_reason,total_power_ms2,vlf_ms2,lf_ms2,hf_ms2,lf_nu,hf_nu,lf_hf,hf_lf,median_frequency_hz,thm_power_ms2,resonance_band_power_ms2,resonance_share,lf_peak_frequency_hz,lf_peak_prominence_ratio,spectral_agreement,spectral_agreement_raw,spectral_shape_agreement,band_power_agreement,interpolation_agreement,frequency_waveform_inserted_ratio,frequency_timing_recovered_ratio,frequency_timing_shift_delta_p95_ms,sqi,overall_status,detected_artifact_ratio,corrected_ratio,unresolved_suspect_ratio,max_consecutive_artifacts,protocol_error_ratio,protocol_crc_errors,protocol_format_errors,protocol_seq_gaps
991082278,78.15481687675116,VALID,,31.746779492078307,26.004583976217727,38.63262397993693,60.79635320156167,10.16949152542373,1.0,7.0,4.907049999999999,0.0,LIMITED,受限输出：波形补搏 13.6%；时间恢复 14.7%；Welch/Lomb 稳健一致性 88%；频带一致性 89%,1951.9595780357674,797.3412204075602,798.0187906542587,273.1512758507393,74.4997284378965,25.500271562103517,2.921526865173157,0.34228677200294394,0.050745202289026674,340.98007083213673,306.07439906613956,0.283099322219101,0.078125,5.965655207859317,0.8781763945674618,0.8552010118778283,0.87118869490224,0.8944810271196462,0.9998089662791467,0.13624678663239073,0.14652956298200515,14.71860000000001,0.9247199946680885,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
1011253337,74.56241184548182,VALID,,25.38365235203188,19.663510138056967,31.011784807531644,47.30914903181121,5.084745762711865,1.0,7.0,4.907049999999999,0.0,INVALID,Welch/Lomb 稳健一致性 73% < 80%,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7292768007379669,0.5437616604409452,0.6575402371717145,0.8966621157258893,0.9992878170937638,0.13730569948186527,0.15025906735751296,17.632849999999955,0.9025,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
1031855619,77.30315074758589,VALID,,24.016889776974075,18.664769281634065,29.697303872242077,47.24340353685118,3.389830508474576,1.0,7.0,4.53955,0.0,INVALID,Welch/Lomb 稳健一致性 75% < 80%,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7544175404321916,0.5287142155012468,0.7001269001460358,0.8810957010998883,0.9993741617897772,0.14285714285714285,0.15584415584415584,18.207799999999867,0.9145,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
1052169293,79.74640642756036,VALID,,20.226325049301465,16.874712985892703,23.70955506476468,34.093973654979564,0.0,1.0,7.0,4.53955,0.0,LIMITED,受限输出：波形补搏 14.5%；时间恢复 15.8%,1834.7628933351225,600.066777608134,848.6373224762634,324.49551853315177,72.33940546290209,27.660594537097904,2.6152512870206657,0.38237243394657316,0.06618326362344439,515.8178859526993,304.29544656382507,0.2578821117779949,0.06640625,6.490101523372648,0.9325497046486371,0.7625014925278664,0.9270160989223261,0.9454614513433628,0.9996894873328039,0.14470284237726097,0.15762273901808785,14.904100000000009,0.9088884942432898,LIMITED,0.0,0.0,0.0,0,3.968883949833307e-05,2,1,8
1072627154,87.41538918788189,VALID,,21.8931086467943,17.980804938601583,26.39898970394953,44.51875028447275,1.694915254237288,1.0,7.0,4.723299999999999,0.0,LIMITED,受限输出：波形补搏 14.7%；时间恢复 16.2%,2500.7354728006826,862.7975999952059,1223.366513657957,336.0185466655804,78.45185546436721,21.54814453563279,3.6407708020816547,0.27466711154358797,0.06551213457789057,857.7667503219093,426.96940854925305,0.27289545405772103,0.06640625,8.467262101733727,0.9581536171089826,0.8059001576416384,0.9462533573453334,0.9859208898908308,0.9998793791126447,0.14652956298200515,0.16195372750642673,17.8245,0.8144695018117037,LIMITED,0.0,0.0,0.0,0,3.8367587062449645e-05,2,1,8
1093116421,75.46144674685704,INVALID,SQI 69% < 70%,nan,nan,nan,nan,nan,1.0,7.0,5.1183499999999995,0.0,INVALID,波形补搏比例 15.1% > 15.0%,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.957260518238741,0.7758405311082256,0.9676913717521048,0.932921860040892,0.9999325840701646,0.15051020408163265,0.1683673469387755,15.539499999999991,0.6935143518403921,INVALID,0.0,0.0,0.0,0,3.712963192158222e-05,2,1,8
1113270157,75.22699746485019,VALID,,29.260810364196885,25.167971995015627,33.35084137360428,79.01736609525375,10.16949152542373,1.0,7.0,5.1183499999999995,0.0,LIMITED,受限输出：波形补搏 14.1%；时间恢复 15.9%,3497.9315724716034,1121.8063089744096,1928.2083216897474,342.7369432677441,84.90774090611298,15.092259093887039,5.625913282956026,0.17774891821200797,0.0678620453818282,1409.3318998601026,619.3544032799259,0.2715681614062504,0.07421875,11.922293725789345,0.9584654567917585,0.7903814403977444,0.9463265987222571,0.986789458953929,0.9999326231135245,0.14066496163682865,0.1585677749360614,17.057900000000043,0.7433883010661875,LIMITED,0.0,0.0,0.0,0,3.6000144000576004e-05,2,1,8
1133759761,99.40769581245081,VALID,,26.35275903768531,21.688936389768262,31.217954028342763,96.45984973499607,8.47457627118644,1.0,7.0,4.803899999999998,0.0,LIMITED,受限输出：波形补搏 15.0%；时间恢复 16.8%；Welch/Lomb 稳健一致性 84%；频带一致性 87%,3322.6556635699594,919.2011594229082,1964.3604941952167,329.27535801301156,85.64395661604271,14.356043383957282,5.965707564784102,0.167624709917572,0.07076455843496487,1394.0584166031379,614.640490192925,0.26641431425966966,0.07421875,15.602148857053857,0.8383942111638566,0.6486958886456216,0.8251057372750453,0.8694006502377498,0.999943707798295,0.14974619289340102,0.16751269035532995,17.249549999999868,0.9377254352481148,LIMITED,0.0,0.0,0.0,0,3.491295037705987e-05,2,1,8
1153960447,76.38057896478855,VALID,,24.192713304153155,19.75807928901691,28.04626547699384,84.5244181602033,5.084745762711865,1.0,7.0,3.7890999999999995,0.0,INVALID,波形补搏比例 15.6% > 15.0%；Welch/Lomb 稳健一致性 64% < 80%；VLF/LF/HF 频带一致性 67% < 82%,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6367805531975284,0.5378627667962846,0.6228853393422492,0.6692027188598464,0.9999391935375339,0.15577889447236182,0.17336683417085427,17.057900000000043,0.9329481813479921,LIMITED,0.0,0.0,0.0,0,3.391478345410765e-05,2,1,8
1174016487,67.58050527691111,VALID,,28.653636356032177,23.503676712592785,33.40813284747698,104.25759516550781,10.16949152542373,1.0,7.0,5.282949999999996,0.0,INVALID,Welch/Lomb 稳健一致性 63% < 80%；VLF/LF/HF 频带一致性 69% < 82%,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6341535062002137,0.5606214506158784,0.6090257909927486,0.692784841684299,0.9999436957255788,0.1407035175879397,0.15829145728643215,15.831999999999999,0.8567733342486775,LIMITED,0.0,0.0,0.0,0,3.294711987260447e-05,2,1,8
1194562518,88.64069494304836,VALID,,36.652100628865384,30.85011051316896,43.472011291590746,77.03753794169673,22.033898305084744,1.0,7.0,6.939849999999989,0.0,INVALID,Welch/Lomb 稳健一致性 76% < 80%；VLF/LF/HF 频带一致性 74% < 82%,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7570686002044847,0.7283166945341124,0.7647146527444579,0.7392278109445475,0.9999448418742812,0.14285714285714285,0.16290726817042606,15.831999999999999,0.9005398308613897,LIMITED,0.0,0.0,0.0,0,3.203382772207451e-05,2,1,8
