t_us,score_t_us,latest_data_t_us,baseline_version,uses_future_data
807604900,807604900,1011253337,869023836,1
828282576,828282576,1011253337,869023836,1
848472495,848472495,1011253337,869023836,1
869023836,869023836,1011253337,869023836,1
889076043,889076043,1011253337,869023836,1
909677398,909677398,1011253337,869023836,1
930305527,930305527,1011253337,869023836,1
950310151,950310151,1011253337,869023836,1
970680359,970680359,1011253337,869023836,1
991082278,991082278,1011253337,869023836,1
1011253337,1011253337,1011253337,869023836,0
483042043,483042043,1031855619,869023836,1
503840304,503840304,1031855619,869023836,1
523954424,523954424,1031855619,869023836,1
544120304,544120304,1031855619,869023836,1
564280953,564280953,1031855619,869023836,1
584359045,584359045,1031855619,869023836,1
604537710,604537710,1031855619,869023836,1
625119245,625119245,1031855619,869023836,1
645431581,645431581,1031855619,869023836,1
665822658,665822658,1031855619,869023836,1
686201757,686201757,1031855619,869023836,1
706364932,706364932,1031855619,869023836,1
726833293,726833293,1031855619,869023836,1
746925046,746925046,1031855619,869023836,1
766966843,766966843,1031855619,869023836,1
786988043,786988043,1031855619,869023836,1
807604900,807604900,1031855619,869023836,1
828282576,828282576,1031855619,869023836,1
848472495,848472495,1031855619,869023836,1
869023836,869023836,1031855619,869023836,1
889076043,889076043,1031855619,869023836,1
909677398,909677398,1031855619,869023836,1
930305527,930305527,1031855619,869023836,1
950310151,950310151,1031855619,869023836,1
970680359,970680359,1031855619,869023836,1
991082278,991082278,1031855619,869023836,1
1011253337,1011253337,1031855619,869023836,1
1031855619,1031855619,1031855619,869023836,0
483042043,483042043,1052169293,991082278,1
503840304,503840304,1052169293,991082278,1
523954424,523954424,1052169293,991082278,1
544120304,544120304,1052169293,991082278,1
564280953,564280953,1052169293,991082278,1
584359045,584359045,1052169293,991082278,1
604537710,604537710,1052169293,991082278,1
625119245,625119245,1052169293,991082278,1
645431581,645431581,1052169293,991082278,1
665822658,665822658,1052169293,991082278,1
686201757,686201757,1052169293,991082278,1
706364932,706364932,1052169293,991082278,1
726833293,726833293,1052169293,991082278,1
746925046,746925046,1052169293,991082278,1
766966843,766966843,1052169293,991082278,1
786988043,786988043,1052169293,991082278,1
807604900,807604900,1052169293,991082278,1
828282576,828282576,1052169293,991082278,1
848472495,848472495,1052169293,991082278,1
869023836,869023836,1052169293,991082278,1
889076043,889076043,1052169293,991082278,1
909677398,909677398,1052169293,991082278,1
930305527,930305527,1052169293,991082278,1
950310151,950310151,1052169293,991082278,1
970680359,970680359,1052169293,991082278,1
991082278,991082278,1052169293,991082278,1
1011253337,1011253337,1052169293,991082278,1
1031855619,1031855619,1052169293,991082278,1
1052169293,1052169293,1052169293,991082278,0
483042043,483042043,1072627154,991082278,1
503840304,503840304,1072627154,991082278,1
523954424,523954424,1072627154,991082278,1
544120304,544120304,1072627154,991082278,1
564280953,564280953,1072627154,991082278,1
584359045,584359045,1072627154,991082278,1
604537710,604537710,1072627154,991082278,1
625119245,625119245,1072627154,991082278,1
645431581,645431581,1072627154,991082278,1
665822658,665822658,1072627154,991082278,1
686201757,686201757,1072627154,991082278,1
706364932,706364932,1072627154,991082278,1
726833293,726833293,1072627154,991082278,1
746925046,746925046,1072627154,991082278,1
766966843,766966843,1072627154,991082278,1
786988043,786988043,1072627154,991082278,1
807604900,807604900,1072627154,991082278,1
828282576,828282576,1072627154,991082278,1
848472495,848472495,1072627154,991082278,1
869023836,869023836,1072627154,991082278,1
889076043,889076043,1072627154,991082278,1
909677398,909677398,1072627154,991082278,1
930305527,930305527,1072627154,991082278,1
950310151,950310151,1072627154,991082278,1
970680359,970680359,1072627154,991082278,1
991082278,991082278,1072627154,991082278,1
1011253337,1011253337,1072627154,991082278,1
1031855619,1031855619,1072627154,991082278,1
1052169293,1052169293,1072627154,991082278,1
1072627154,1072627154,1072627154,991082278,0
