t_us,window_start_t_us,window_end_t_us,sample_count,raw_min,raw_p05,raw_p50,raw_p95,raw_max,avg_p05,avg_p50,avg_p95,filtered_p05,filtered_p50,filtered_p95,filtered_std,filtered_peak_to_peak,clip_low_ratio,clip_high_ratio,wear_ratio,wear_transition_count,max_no_wear_run_ms,candidate_count,detector_score_p50,expected_rr_ms_p50,firmware_hr_bpm_p50,firmware_hr_zero_ratio,effective_sample_rate_hz,timing_jitter_p95_ms,sqi,sqi_wear_ratio,sqi_clip_low_ratio,sqi_clip_high_ratio,protocol_error_ratio,protocol_seq_gaps,sample_drop_count,sample_queue_depth,sample_queue_high_water,corrector_reference_rr_ms,corrector_autocorr_confidence,corrector_polarity,corrector_candidate_count,corrector_selected_count,corrector_inserted_count,corrector_firmware_matched_count
641590043,636590046,641590043,626,44.000000,55.000000,124.000000,464.750000,492.000000,57.000000,126.000000,446.000000,-119.000000,-45.000000,257.000000,123.804443,406.000000,0.000000,0.000000,1.000000,0,0.000000,18,0.503000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,796.634240,0.767564,1,24,0,0,0
646590046,641598045,646590046,625,38.000000,53.000000,125.000000,452.000000,497.000000,56.200000,128.000000,431.800000,-121.000000,-48.000000,240.000000,118.333747,411.000000,0.000000,0.000000,1.000000,0,0.000000,13,0.520000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,804.957440,0.800993,1,24,0,0,0
651598047,646606046,651598047,625,26.000000,36.000000,107.000000,465.800000,495.000000,40.000000,108.000000,444.800000,-134.000000,-63.000000,258.600000,129.687425,421.000000,0.000000,0.000000,1.000000,0,0.000000,16,0.516000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,842.245120,0.888019,1,24,0,0,0
656606043,651606043,656606043,626,13.000000,32.000000,119.500000,475.750000,510.000000,36.000000,123.500000,453.750000,-136.750000,-54.000000,266.000000,137.448372,447.000000,0.000000,0.000000,1.000000,0,0.000000,14,0.514500,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,811.545600,0.891288,1,24,0,0,0
661606043,656606043,661606043,626,21.000000,36.000000,112.500000,468.000000,506.000000,38.000000,116.000000,446.750000,-132.000000,-59.000000,260.000000,130.018722,437.000000,0.000000,0.000000,1.000000,0,0.000000,14,0.502500,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,797.644800,0.970715,1,24,1,0,1
666606043,661606043,666606043,626,32.000000,41.250000,112.000000,462.750000,492.000000,44.000000,115.000000,443.000000,-128.000000,-60.500000,256.500000,130.695410,411.000000,0.000000,0.000000,1.000000,0,0.000000,17,0.507500,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,787.039680,0.980497,1,25,0,0,0
671606043,666606043,671606043,626,27.000000,37.000000,113.000000,469.750000,491.000000,41.000000,117.000000,449.500000,-133.000000,-60.000000,262.250000,132.092854,421.000000,0.000000,0.000000,1.000000,0,0.000000,17,0.510500,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,776.787520,0.977030,1,25,0,0,0
676606045,671614045,676606045,625,4.000000,26.000000,112.000000,471.800000,507.000000,29.200000,118.000000,447.800000,-141.800000,-59.000000,260.800000,137.758887,452.000000,0.000000,0.000000,1.000000,0,0.000000,14,0.526000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,761.746880,0.947781,1,26,0,0,0
681614043,676614044,681614043,626,0.000000,18.000000,100.000000,487.000000,508.000000,18.000000,103.000000,463.750000,-149.750000,-67.000000,279.000000,142.113660,465.000000,0.001597,0.000000,1.000000,0,0.000000,16,0.511500,795.200000,77.300000,0.000000,125.000000,0.004000,0.996106,1.000000,0.001597,0.000000,0.000000,0,0,0,4,761.043520,0.961855,1,25,1,1,0
686614043,681614043,686614043,626,17.000000,30.250000,110.000000,480.750000,522.000000,32.000000,116.000000,459.000000,-141.000000,-61.000000,270.000000,140.450045,453.000000,0.000000,0.000000,1.000000,0,0.000000,17,0.513000,795.200000,77.300000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.000000,0,0,0,4,752.582400,0.965815,1,26,0,0,0
691614046,686622043,691614046,625,0.000000,24.000000,103.000000,473.000000,535.000000,26.200000,108.000000,451.000000,-144.800000,-68.000000,260.800000,140.814455,486.000000,0.014400,0.000000,1.000000,0,0.000000,19,0.528000,795.200000,77.300000,0.000000,125.000000,0.004000,0.967300,1.000000,0.014400,0.000000,0.000000,0,0,0,4,745.090560,0.891261,1,26,0,0,0
696622044,691630046,696622044,625,0.000000,12.000000,92.000000,503.200000,549.000000,15.000000,101.000000,484.800000,-154.000000,-70.000000,299.400000,154.388672,502.000000,0.014400,0.000000,1.000000,0,0.000000,22,0.505000,795.200000,77.300000,0.000000,125.000000,0.004000,0.967300,1.000000,0.014400,0.000000,0.000000,0,0,0,4,738.139840,0.890410,1,26,0,0,0
