t_us,hr_bpm,time_status,time_validity_reason,rmssd_ms,rmssd_ci_low_ms,rmssd_ci_high_ms,sdnn_ms,pnn50_percent,fiducial_quality_mean,fiducial_uncertainty_p95_ms,fiducial_shift_p95_ms,fiducial_unstable_ratio,frequency_status,frequency_validity_reason,total_power_ms2,vlf_ms2,lf_ms2,hf_ms2,lf_nu,hf_nu,lf_hf,hf_lf,median_frequency_hz,thm_power_ms2,resonance_band_power_ms2,resonance_share,lf_peak_frequency_hz,lf_peak_prominence_ratio,spectral_agreement,spectral_agreement_raw,spectral_shape_agreement,band_power_agreement,interpolation_agreement,sqi,overall_status,detected_artifact_ratio,corrected_ratio,unresolved_suspect_ratio,max_consecutive_artifacts,protocol_error_ratio,protocol_crc_errors,protocol_format_errors,protocol_seq_gaps
669857394,81.27262087947813,VALID,,45.17208675513629,38.12136616721665,52.94161432433161,52.8505200745274,28.8135593220339,1.0,7.0,340.9613,0.0,VALID,,1592.676956797876,557.4310685198739,658.2664387430725,308.85100460791557,68.064788125652,31.935211874348003,2.1313398011404807,0.4691884416857882,0.06468620030075468,236.92108844782464,78.16476008565866,0.07949297343309708,0.06640625,4.780662172326815,0.9720364566476751,0.8129765412815838,0.9666234010807334,0.9846669196372062,0.9997964177941623,0.9995209917059491,VALID,0.0,0.0,0.0,0,3.580165881019154e-05,2,1,9
690182625,79.22298100232915,VALID,,45.0120410161623,38.27301724280631,50.542909719428,48.80580459764438,27.11864406779661,1.0,7.0,336.99240000000003,0.0,LIMITED,受限输出：Welch/Lomb 稳健一致性 90%,2159.4293828046093,868.1499465834374,892.8109076254195,321.9283113528437,73.49815447437165,26.501845525628358,2.773322122163,0.36057838071116993,0.0597906668655222,311.1754377093598,134.22348058599255,0.10891047787693568,0.06640625,5.106434142095327,0.8992554538631177,0.7847630890700058,0.8882447566736685,0.9249470806384992,0.999852827291936,0.9929281102329138,LIMITED,0.0,0.0,0.0,0,3.472985957560111e-05,2,1,9
710463383,74.2861104783035,VALID,,48.104205604225065,42.63048146742327,55.2299449335631,55.24646939496713,30.508474576271187,1.0,7.0,348.60209999999995,0.0,VALID,,2650.0004897035215,1156.555041598906,1083.4892946333446,334.18028025939503,76.42749155530979,23.572508444690225,3.242229893973176,0.30842970199579356,0.05691071594122587,371.79155877834086,213.64299258130887,0.14889746434333248,0.0625,5.46023010520751,0.9440343363790797,0.8430570872550178,0.9547793643088011,0.9189626045430637,0.999901711107054,0.9929313943685719,VALID,0.0,0.0,0.0,0,3.372112628561794e-05,2,1,9
731085394,79.612446609903,VALID,,44.737814733952874,38.50454007291053,51.36562411029482,46.273164142356634,28.8135593220339,1.0,7.0,365.85435,0.0,LIMITED,受限输出：频带一致性 90%,2912.515600333696,1335.1976444927186,1166.5957878036106,339.7644353896194,77.44467557239557,22.555324427604443,3.433542967691235,0.29124435296419626,0.05332708950101,410.00222965754364,291.5028846001216,0.1916817353734021,0.0625,5.093743982892679,0.9363641739245425,0.8749818340934981,0.9533807850331785,0.8966587480043917,0.9999132621613489,0.9995361551064992,LIMITED,0.0,0.0,0.0,0,3.276897870016384e-05,2,1,9
751680555,76.4405216301196,VALID,,44.210044873634914,37.221421612629264,50.01521356548577,41.60478226924044,27.11864406779661,1.0,7.0,351.31269999999995,0.0,VALID,,2824.091541249596,1271.8376773560776,1144.4458827451556,336.76392720674147,77.26426567363349,22.7357343263665,3.398362444094474,0.29425937240383415,0.05518235717074347,437.8044750034027,343.9437119884511,0.23064488428421395,0.0625,3.4751461501833534,0.9596257395896735,0.8526493051292087,0.9748554542268267,0.9240897387696496,0.9999053416719302,0.8055440842441308,VALID,0.0,0.0,0.0,0,3.1858970955238146e-05,2,1,9
771867315,78.35455435847209,VALID,,46.645055411650354,39.0577329512513,52.523298636867594,36.57697203387603,28.8135593220339,1.0,7.0,317.7693,0.0,VALID,,2550.648341870079,1056.8939781983865,1081.49197119281,331.96165330418944,76.51414609217736,23.485853907822648,3.257882229553173,0.3069478666014126,0.057894578918071385,474.482440768493,367.3545617882751,0.2588902721576661,0.05859375,3.569139123550882,0.9662868869470884,0.8813175648156982,0.9839299969592724,0.9251196302519928,0.999887044298935,0.9592699692522352,VALID,0.0,0.0,0.0,0,3.100614955299468e-05,2,1,9
792159214,77.36834164828095,VALID,,51.32953475537636,43.770573794707495,60.255678784090875,40.09248752677318,33.89830508474576,1.0,7.0,5.6098,0.0,VALID,,2281.688720711756,815.9157909948177,1036.6344502392346,334.25201692743,75.61781920436789,24.38218079563211,3.1013558564832833,0.3224396187588511,0.06188535029977894,530.8653710796834,389.32898576314153,0.28343597296359635,0.04296875,4.083922316149913,0.9635438642966887,0.8226210611712136,0.9727598770381484,0.9420398345666161,0.9998247951467044,0.9940753380859475,VALID,0.0,0.0,0.0,0,3.022030603096574e-05,2,1,9
812269733,78.57537604865388,VALID,,48.203974665046815,38.58920978147682,57.995978488508335,40.91089262315657,30.508474576271187,1.0,7.0,5.506799999999998,0.0,VALID,,2135.5579510461234,654.6617416761187,1026.9078227782607,348.922924166468,74.63910986570754,25.360890134292468,2.9430792637984773,0.3397801793178185,0.07316258824250786,594.7913463484529,430.78368925411,0.3124179944190065,0.09375,5.1983621059683545,0.920767754359553,0.7382431915897943,0.909720307092492,0.9465451313160289,0.9997325004977285,0.9946776623906018,VALID,0.0,0.0,0.0,0,2.9467521879634994e-05,2,1,9
832278443,92.47856423946399,VALID,,38.78152892043814,30.931224611125778,46.97760053346045,52.80844946115387,18.64406779661017,1.0,7.0,6.0074499999999995,0.0,VALID,,2163.259105175201,669.8370660637488,1022.0774149414442,370.45199840234466,73.39718681325354,26.602813186746467,2.7590009484342826,0.36245003850669005,0.07673031681836397,629.8055396748175,475.4272358203192,0.34000148958405946,0.08984375,6.000330279362262,0.9246797967850054,0.6788157951385119,0.9228145326913868,0.9290320796701157,0.9997321081834627,0.8837121220071116,VALID,0.0,0.0,0.0,0,2.8749952083413195e-05,2,1,9
852576832,80.03532225555546,VALID,,37.31648031661532,31.6146159120801,42.65661569116276,48.45908292342498,16.94915254237288,1.0,7.0,4.869349999999998,0.0,VALID,,2115.2862432373286,670.400477874843,975.1624541174451,388.164866203125,71.52812384689447,28.471876153105523,2.512237811876428,0.39805148830758386,0.08049944732324857,610.3741780663756,484.1513469159268,0.3527324607179702,0.08984375,5.5942576431771,0.9509108359706502,0.765725354655124,0.9508307320316062,0.9510977451617528,0.9997034047044097,0.8836847659025466,VALID,0.0,0.0,0.0,0,2.8046819490669756e-05,2,1,9
