t_us,last_committed_t_us,polarity,template_correlation,autocorr_estimated_rr_ms,firmware_expected_rr_ms,candidate_peak_count,final_peak_count,inserted_peak_count,firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason,waveform_amplitude,commit_until_t_us,latest_sample_t_us,reinit_reason
8958630043,8951134046,1,1.000000,752.000000,768.000000,26,1,0,1,26,26,26,0,1.000000,0.000000,750.048555,752.000000,0.063089,dual_strong_update,5.969397,8951196043,8958446043,
8963630043,8955678043,1,1.000000,776.004000,776.000000,24,0,0,0,24,24,24,0,1.000000,0.000000,775.997909,776.004000,0.045846,dual_strong_update,5.911922,8956244043,8963494043,
8968630043,8961158043,1,1.000000,780.000000,795.998000,25,1,0,1,25,25,25,0,1.000000,0.000000,782.989180,780.000000,0.038015,dual_strong_update,5.783927,8961316043,8968566043,
8973630047,8965982044,1,1.000000,800.000000,803.998500,24,0,0,0,24,24,24,0,1.000000,0.000000,799.664953,800.000000,0.029652,dual_strong_update,5.494311,8966372047,8973622047,
8978638045,8970758043,1,1.000000,800.000000,795.999000,24,0,0,0,24,24,24,0,1.000000,0.000000,799.999664,800.000000,0.029652,dual_strong_update,5.048464,8971228044,8978478044,
8983646043,8975702047,1,0.958333,799.999500,791.996000,24,0,0,0,23,24,23,1,0.958333,0.000000,799.999835,799.999500,0.029656,dual_strong_update,5.056186,8976332044,8983582044,
8988646043,8981198043,1,1.000000,807.998000,816.000000,23,1,0,1,23,23,23,0,1.000000,0.000000,809.726237,807.998000,0.051373,dual_strong_update,5.195021,8981228043,8988478043,
8993646046,8986134045,1,1.000000,800.000000,823.998000,24,1,0,1,24,24,24,0,1.000000,0.000000,800.926418,800.000000,0.044478,dual_strong_update,4.965082,8986308047,8993558047,
8998654043,8991038043,1,1.000000,784.001000,764.001500,25,0,0,0,25,25,25,0,1.000000,0.000000,786.751407,784.001000,0.075643,dual_strong_update,4.789167,8991388044,8998638044,
9003654045,8996006045,1,1.000000,744.004000,720.001000,26,0,0,0,26,26,26,0,1.000000,0.000000,744.758247,744.004000,0.111593,dual_strong_update,4.839788,8996276045,9003526045,
9008662044,9000870047,1,0.961538,744.002500,763.997000,26,0,0,0,25,26,25,1,0.961538,0.000000,744.003788,744.002500,0.079710,dual_strong_update,5.334669,9001380044,9008630044,
9013662044,9005686043,1,1.000000,744.001000,768.001000,26,0,0,0,26,26,26,0,1.000000,0.000000,738.812381,744.001000,0.079716,dual_strong_update,5.270717,9006260043,9013510043,
9018670043,9010862043,1,0.960000,768.000000,760.000000,25,0,0,0,24,25,24,1,0.960000,0.000000,767.024897,768.000000,0.092670,dual_strong_update,5.117295,9011348043,9018598043,
9023670043,9015902043,1,1.000000,820.000000,880.001000,23,0,0,0,23,23,23,0,1.000000,0.000000,827.290955,820.000000,0.137411,dual_strong_update,4.945748,9016412043,9023662043,
9028670044,9020606043,1,1.000000,824.001000,824.001000,23,0,0,0,23,23,23,0,1.000000,0.000000,823.562050,824.001000,0.115155,dual_strong_update,4.876901,9021292046,9028542046,
9033678044,9025574045,1,1.000000,824.001000,816.001000,22,0,0,0,22,22,22,0,1.000000,0.000000,825.783170,824.001000,0.043184,dual_strong_update,5.094679,9026332045,9033582045,
9038686044,9031286043,1,1.000000,807.998000,796.000500,24,1,0,1,24,24,24,0,1.000000,0.000000,808.328944,807.998000,0.029364,dual_strong_update,4.776116,9031388043,9038638043,
9043694047,9035974043,1,0.960000,792.003000,768.001500,25,0,0,0,24,25,24,1,0.960000,0.000000,795.377717,792.003000,0.044925,dual_strong_update,4.934025,9036268043,9043518043,
9048702043,9040598043,1,1.000000,760.002000,768.000000,26,0,0,0,26,26,26,0,1.000000,0.000000,761.733612,760.002000,0.078020,dual_strong_update,4.847535,9041348043,9048598043,
9053702043,9046206046,1,1.000000,736.003000,728.000500,26,1,0,1,26,26,26,0,1.000000,0.000000,736.308138,736.003000,0.064461,dual_strong_update,4.744200,9046388043,9053638043,
9058702043,9051262044,1,1.000000,736.003000,775.998000,26,1,0,1,26,26,26,0,1.000000,0.000000,736.003301,736.003000,0.080568,dual_strong_update,4.456709,9051268045,9058518045,
9063702043,9055990043,1,1.000000,751.997000,779.998000,26,0,0,0,26,26,26,0,1.000000,0.000000,751.678379,751.997000,0.047321,dual_strong_update,4.680634,9056340043,9063590043,
