t_us,last_committed_t_us,polarity,template_correlation,autocorr_estimated_rr_ms,firmware_expected_rr_ms,candidate_peak_count,final_peak_count,inserted_peak_count,firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason,rejected_candidate_count,long_gap_rescue_count,waveform_amplitude,commit_until_t_us,latest_sample_t_us,reinit_reason
67856909917,67849493920,1,0.928571,712.003000,723.999500,28,1,0,1,27,27,26,2,0.928571,0.000000,713.764115,712.003000,0.083290,dual_strong_update,0,0,4.226372,67849507920,67856757920,
67861909918,67854381920,1,0.931034,712.000500,731.999000,29,0,0,0,29,27,27,2,0.931034,0.000000,718.676859,712.000500,0.083296,dual_strong_update,0,0,4.272683,67854595920,67861845920,
67866917917,67858965919,1,0.964286,724.000000,736.000000,28,0,0,0,28,27,27,1,0.964286,0.000000,721.846345,724.000000,0.073722,dual_strong_update,0,0,5.184110,67859467920,67866717920,
67871917920,67863965917,1,0.870968,728.000500,727.997000,31,0,0,0,31,27,27,4,0.870968,0.000000,728.000596,728.000500,0.065174,dual_consensus_update,0,0,5.602859,67864579921,67871829921,
67876925920,67868941917,1,0.818182,687.999500,679.999000,33,0,0,0,33,27,27,6,0.818182,0.000000,692.938463,687.999500,0.051716,dual_consensus_update,0,0,6.000000,67869483920,67876733920,
67881925920,67874317920,1,0.875000,664.001000,656.004000,32,0,0,0,32,28,28,4,0.875000,0.000000,669.309253,664.001000,0.053586,dual_consensus_update,0,0,5.736297,67874563920,67881813920,
67886925920,67879469916,1,0.878788,644.001500,640.001000,33,1,0,1,32,30,29,4,0.878788,0.000000,650.198729,644.001500,0.046042,dual_consensus_update,0,0,5.297656,67879611918,67886861918,
67891933920,67883973916,1,0.966667,643.998000,692.001000,30,0,0,0,30,29,29,1,0.966667,0.000000,645.231347,643.998000,0.046046,dual_strong_update,0,0,4.752233,67884491920,67891741920,
67896933920,67889005920,1,0.906250,647.998000,663.998000,32,0,0,0,32,29,29,3,0.906250,0.000000,645.238526,647.998000,0.045755,dual_strong_update,0,0,5.071549,67889571920,67896821920,
67901941920,67894565917,1,0.875000,648.000000,663.998000,32,1,0,1,30,30,28,4,0.875000,0.000000,647.997843,648.000000,0.073206,dual_consensus_update,0,0,5.021973,67894643920,67901893920,
67906941920,67899061916,1,0.870968,704.001000,672.000000,31,0,0,0,31,27,27,4,0.870968,0.000000,696.771058,704.001000,0.117936,dual_consensus_update,0,0,5.320350,67899499920,67906749920,
67911949920,67904557917,1,0.928571,744.000000,783.998500,28,1,0,1,28,26,26,2,0.928571,0.000000,742.399146,744.000000,0.127528,dual_strong_update,0,0,5.212018,67904587920,67911837920,
67916949920,67909309920,1,0.964286,743.998000,724.000000,28,0,0,0,28,27,27,1,0.964286,0.000000,743.998181,743.998000,0.119565,dual_strong_update,0,0,5.089964,67909683920,67916933920,
67921949920,67914141917,1,0.928571,743.996000,711.996000,28,0,0,0,28,26,26,2,0.928571,0.000000,746.169262,743.996000,0.111602,dual_strong_update,0,0,4.770546,67914555920,67921805920,
67926949920,67918877920,1,0.931034,719.997000,744.000000,29,0,0,0,29,27,27,2,0.931034,0.000000,720.893660,719.997000,0.098844,dual_strong_update,0,0,4.280188,67919635920,67926885920,
67931949920,67924101918,1,0.896552,727.998000,760.000000,29,0,0,0,29,26,26,3,0.896552,0.000000,725.531234,727.998000,0.081474,dual_consensus_update,0,0,4.263447,67924507921,67931757921,
67936949921,67929581921,1,0.812500,751.996000,751.998000,32,1,0,1,32,26,26,6,0.812500,0.000000,749.960643,751.996000,0.047317,dual_consensus_update,0,0,4.407468,67929635920,67936885920,
67941949921,67933973917,1,0.848485,727.996000,719.997000,33,0,0,0,33,28,28,5,0.848485,0.000000,730.121077,727.996000,0.065182,dual_consensus_update,1,0,4.196333,67934539920,67941789920,
67946957918,67939245921,1,0.852941,632.000000,632.001000,34,0,0,0,34,29,29,5,0.852941,0.000000,649.135041,632.000000,0.140753,dual_consensus_update,0,0,4.148811,67939651920,67946901920,
67951957920,67944077920,1,0.906250,631.998500,672.002000,32,0,0,0,31,30,29,3,0.906250,0.000000,632.015888,631.998500,0.112600,dual_strong_update,1,0,3.935081,67944531920,67951781920,
67956965917,67949157920,1,0.878788,640.000500,744.002000,33,0,0,0,33,29,29,4,0.878788,0.000000,635.125073,640.000500,0.129730,dual_consensus_update,0,0,4.410421,67949619919,67956869919,
67961965920,67954421920,1,0.823529,727.998000,752.000500,34,0,0,0,34,28,28,6,0.823529,0.000000,726.403640,727.998000,0.081466,dual_consensus_update,0,0,4.815876,67954699920,67961949920,
67966965920,67958869916,1,0.787879,736.000000,736.000000,33,0,0,0,33,26,26,7,0.787879,0.000000,735.979826,736.000000,0.048346,dual_consensus_update,0,0,5.042602,67959579920,67966829920,
67971965921,67964085920,1,0.642857,743.999000,712.000000,42,0,0,0,42,27,27,15,0.642857,0.000000,735.984870,728.000000,0.048877,hold_previous_good_window,0,0,5.205766,67964691920,67971941920,
67976973921,67969061920,1,0.627907,719.999000,696.005000,43,0,0,0,43,27,27,16,0.627907,0.000000,735.984870,704.002000,0.050551,hold_previous_good_window,1,0,5.564432,67969579920,67976829920,
67981973921,67974541920,1,0.636364,680.004000,680.000000,44,1,0,1,44,28,28,16,0.636364,0.000000,735.984870,696.000000,0.051124,hold_previous_good_window,1,0,5.428474,67974651917,67981901917,
67986981920,67979597917,1,0.674419,680.000000,711.998000,43,1,0,1,43,29,29,14,0.674419,0.000000,735.984870,699.999500,0.050836,hold_previous_good_window,0,0,5.727554,67979723917,67986973917,
67991989920,67984581921,1,0.729730,720.000000,728.003000,37,1,0,1,37,27,27,10,0.729730,0.000000,735.984870,720.002000,0.065893,hold_previous_good_window,0,0,6.000000,67984619920,67991869920,
67996989920,67989133920,1,0.729730,736.000000,728.001000,37,0,0,0,37,27,27,10,0.729730,0.000000,721.600981,720.002000,0.065892,hold_previous_good_window,0,0,6.000000,67989723920,67996973920,
68001997920,67994093920,1,0.717949,728.003000,679.997000,39,0,0,0,39,28,28,11,0.717949,0.000000,721.600981,687.999000,0.120677,hold_previous_good_window,0,0,6.000000,67994619920,68001869920,
68007005920,67999149918,1,0.777778,672.002000,672.001000,36,0,0,0,36,28,28,8,0.777778,0.000000,675.911353,672.002000,0.123552,dual_consensus_update,0,0,5.401181,67999675921,68006925921,
68012013921,68004109920,1,0.828571,656.001500,760.003000,35,0,0,0,35,29,29,6,0.828571,0.000000,667.706934,656.001500,0.171768,dual_consensus_update,0,0,4.795499,68004739916,68011989916,
68017021921,68009477920,1,0.848485,744.001000,768.000000,33,1,0,1,33,28,28,5,0.848485,0.000000,724.941454,744.001000,0.127527,dual_consensus_update,0,0,4.645963,68009611920,68016861920,
68022029920,68014149920,1,0.892857,768.000000,791.999500,28,0,0,0,28,25,25,3,0.892857,0.000000,767.416511,768.000000,0.069492,dual_consensus_update,0,0,5.414732,68014699920,68021949920,
68027029920,68018949920,1,0.838710,784.000000,816.000000,31,0,0,0,31,26,26,5,0.838710,0.000000,786.759675,784.000000,0.045388,dual_consensus_update,0,0,5.649134,68019771920,68027021920,
68032029920,68023885916,1,0.827586,792.001000,755.998000,29,0,0,0,28,25,24,5,0.827586,0.000000,783.035617,792.001000,0.044937,dual_consensus_update,1,0,5.803716,68024635920,68031885920,
