t_us,window_start_t_us,window_end_t_us,sample_count,raw_min,raw_p05,raw_p50,raw_p95,raw_max,avg_p05,avg_p50,avg_p95,filtered_p05,filtered_p50,filtered_p95,filtered_std,filtered_peak_to_peak,clip_low_ratio,clip_high_ratio,wear_ratio,wear_transition_count,max_no_wear_run_ms,candidate_count,detector_score_p50,expected_rr_ms_p50,firmware_hr_bpm_p50,firmware_hr_zero_ratio,effective_sample_rate_hz,timing_jitter_p95_ms,sqi,sqi_wear_ratio,sqi_clip_low_ratio,sqi_clip_high_ratio,transport_score,transport_status,contact_score,contact_status,protocol_error_ratio,protocol_seq_gaps,sample_drop_count,sample_queue_depth,sample_queue_high_water,corrector_reference_rr_ms,corrector_autocorr_confidence,corrector_polarity,corrector_candidate_count,corrector_selected_count,corrector_inserted_count,corrector_firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason
67701805920,67696805920,67701805920,626,0.000000,20.250000,139.000000,477.750000,577.000000,33.750000,139.500000,455.000000,-156.000000,-52.000000,245.000000,129.768409,535.000000,0.027157,0.000000,1.000000,0,0.000000,32,0.510000,720.000000,83.300000,0.000000,125.000000,0.004000,0.938334,1.000000,0.027157,0.000000,0.998441,VALID,0.911741,VALID,0.000053,0,0,0,3,707.999000,0.900000,1,30,0,0,0,30,27,27,3,0.900000,0.000000,709.320383,707.999000,0.041884,dual_strong_update
67706805920,67701805920,67706805920,626,18.000000,72.000000,138.500000,448.000000,493.000000,77.250000,141.500000,424.750000,-111.000000,-39.000000,218.000000,109.172843,406.000000,0.000000,0.000000,1.000000,0,0.000000,41,0.519000,718.400000,83.300000,0.000000,125.000000,0.004000,0.999445,1.000000,0.000000,0.000000,0.998463,VALID,1.000000,VALID,0.000051,0,0,0,3,712.003000,0.870968,1,31,0,0,0,31,27,27,4,0.870968,0.000000,712.022154,712.003000,0.041647,dual_consensus_update
67711805921,67706813917,67711805921,625,0.000000,60.000000,135.000000,474.000000,548.000000,62.000000,139.000000,448.000000,-127.800000,-50.000000,241.400000,119.252804,468.000000,0.001600,0.000000,1.000000,0,0.000000,39,0.505000,696.000000,84.300000,0.000000,125.000000,0.004000,0.995853,1.000000,0.001600,0.000000,0.998484,VALID,0.994800,VALID,0.000049,0,0,0,3,719.998500,0.870968,1,31,0,0,0,31,27,27,4,0.870968,0.000000,719.758428,719.998500,0.032946,dual_consensus_update
67716813920,67711813920,67716813920,626,0.000000,41.000000,155.500000,453.250000,524.000000,50.000000,159.500000,435.750000,-131.000000,-37.000000,231.250000,114.485422,462.000000,0.023962,0.000000,1.000000,0,0.000000,27,0.507000,729.600000,84.300000,0.000000,125.000000,0.004000,0.945547,1.000000,0.023962,0.000000,0.998501,VALID,0.922125,VALID,0.000048,0,0,0,3,724.000500,0.900000,1,30,1,0,1,30,27,27,3,0.900000,0.000000,722.304404,724.000500,0.057341,dual_strong_update
67721821917,67716821921,67721821917,626,0.000000,28.000000,138.000000,476.500000,548.000000,40.000000,137.500000,453.500000,-144.750000,-51.000000,244.500000,124.037580,485.000000,0.030351,0.000000,1.000000,0,0.000000,29,0.525500,744.000000,79.800000,0.000000,125.000000,0.004000,0.931177,1.000000,0.030351,0.000000,0.998520,VALID,0.901358,VALID,0.000046,0,0,0,3,728.001500,0.870968,1,31,0,0,0,31,27,27,4,0.870968,0.000000,727.996048,728.001500,0.081460,dual_consensus_update
67726821919,67721829918,67726821919,625,48.000000,79.000000,137.000000,436.000000,483.000000,88.000000,140.000000,414.800000,-98.000000,-50.000000,209.000000,101.295526,363.000000,0.000000,0.000000,1.000000,0,0.000000,38,0.505000,716.800000,82.400000,0.000000,125.000000,0.004000,0.999474,1.000000,0.000000,0.000000,0.998536,VALID,1.000000,VALID,0.000045,0,0,0,3,752.002000,0.742857,1,35,1,0,1,35,26,26,9,0.742857,0.000000,728.002716,728.003000,0.048875,hold_previous_good_window
67731821920,67726829920,67731821920,625,11.000000,60.000000,147.000000,461.800000,558.000000,63.000000,149.000000,443.800000,-124.800000,-39.000000,237.400000,117.740443,479.000000,0.000000,0.000000,1.000000,0,0.000000,35,0.523000,696.000000,86.200000,0.000000,125.000000,0.004000,0.999480,1.000000,0.000000,0.000000,0.998551,VALID,1.000000,VALID,0.000044,0,0,0,3,712.001500,0.750000,1,36,1,0,1,36,27,27,9,0.750000,0.000000,716.062738,712.001500,0.049965,dual_consensus_update
67736829920,67731829920,67736829920,626,65.000000,84.250000,149.000000,423.750000,464.000000,92.250000,152.000000,402.750000,-93.750000,-37.000000,195.750000,93.547276,341.000000,0.000000,0.000000,1.000000,0,0.000000,38,0.512500,676.800000,88.200000,0.000000,125.000000,0.004000,0.999486,1.000000,0.000000,0.000000,0.998566,VALID,1.000000,VALID,0.000043,0,0,0,3,687.997000,0.736842,1,38,0,0,0,38,28,28,10,0.736842,0.000000,711.713717,687.997000,0.051723,hold_previous_good_window
67741837921,67736845918,67741837921,625,0.000000,43.200000,159.000000,434.600000,505.000000,51.200000,162.000000,413.800000,-127.800000,-25.000000,211.800000,103.964907,443.000000,0.014400,0.000000,1.000000,0,0.000000,33,0.549000,672.000000,88.200000,0.000000,125.000000,0.004000,0.967092,1.000000,0.014400,0.000000,0.998581,VALID,0.953200,VALID,0.000042,0,0,0,3,672.001000,0.763158,1,38,1,0,0,38,29,29,9,0.763158,0.000000,672.682207,672.001000,0.070597,dual_consensus_update
67746845920,67741853921,67746845920,625,58.000000,77.000000,171.000000,419.800000,580.000000,85.000000,174.000000,403.800000,-115.000000,-21.000000,198.600000,96.012765,442.000000,0.000000,0.000000,1.000000,0,0.000000,37,0.523000,678.400000,88.200000,0.000000,125.000000,0.004000,0.999497,1.000000,0.000000,0.000000,0.998594,VALID,1.000000,VALID,0.000041,0,0,0,3,667.998000,0.878788,1,33,0,0,0,33,29,29,4,0.878788,0.000000,670.248414,667.998000,0.062144,dual_consensus_update
